Partlist

Exported from BSC_mini.brd at 9/12/18 2:52 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                  Package                          Library             Position (mm)         Orientation

IC201    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (88 9.2)              R180
IC202    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (72 9.2)              R180
IC203    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (227.8 9.2)           R180
IC204    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (180.4 9.2)           R180
IC205    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (47.8 24.6)           R90
IC301    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (211.8 9.2)           R180
IC302    LM1117T-ADJ            T_TO220-3_VERTICAL               be_vreg_vref        (195.8 9.2)           R180
IC401    4093N                  T_NDIP14                         be_logic            (219.2 119.6)         R0
IC601    AS6C4008-55PCN         T_NDIP32                         be_memory           (144 99)              R270
IC602    AS6C4008-55PCN         T_NDIP32                         be_memory           (95 99)               R270
IC603    AS6C4008-55PCN         T_NDIP32                         be_memory           (119 99)              R270
IC701    AM29LV040B             T_PLCC32                         be_memory           (109.2 62.8)          R90
IC702    24LC256-I/SN           S_SOIC8                          be_memory           (164 111)             R270
IC801    XC3S400-4PQG208C       S_PQ208                          be_xilinx           (52.59 81.91)         R0
IC802    XCF04SVOG20C           S_TSSOP20                        be_xilinx           (60.4 55.4)           R0
IC1101   50MHz                  S_XO91                           be_osc              (58.4 106.6)          R180
IC1201   XC2C384-10TQG144C      S_TQFP144                        be_xilinx           (196.6 68.6)          R0
IC1301   MAX517ACSA+            S_SO8                            be_dac              (228.6 77.4)          R90
IC1302   MAX517ACSA+            S_SO8                            be_dac              (228.6 58.8)          R90
IC1401   MAX962ESA+             S_SO8                            be_opamp_comparator (228.58 67.08)        R90
IC2001   4093N                  T_NDIP14                         be_logic            (24.4 52.4)           R270
J201                            S_SOLDER_JUMPER_NARROW           be_con_jump         (88 19.8)             R90
J202                            S_SOLDER_JUMPER_NARROW           be_con_jump         (72 19.8)             R90
J203                            S_SOLDER_JUMPER_NARROW           be_con_jump         (227.8 19.8)          R90
J204                            S_SOLDER_JUMPER_NARROW           be_con_jump         (180.4 19.8)          R90
J205                            S_SOLDER_JUMPER_NARROW           be_con_jump         (36 37.4)             R180
J301                            S_SOLDER_JUMPER_NARROW           be_con_jump         (211.8 19.8)          R90
J302                            S_SOLDER_JUMPER_NARROW           be_con_jump         (195.8 19.6)          R90
J501                            T_MALE_2X1_VERTICAL_GRID_2.54MM  be_con_jump         (19 83)               R270
J801     JUMPER_2X10-T-VERTICAL T_MALE_2X10_VERTICAL_GRID_2.54MM be_con_jump         (54.2 47)             R0
J1201                           T_MALE_2X1_VERTICAL_GRID_2.54MM  be_con_jump         (19 106)              R270
J1901                           S_SOLDER_JUMPER_NARROW           be_con_jump         (137 59)              MR90
J1902                           S_SOLDER_JUMPER_NARROW           be_con_jump         (137 63)              MR270
J1903                           S_SOLDER_JUMPER_NARROW           be_con_jump         (141 59)              MR270
J1904                           S_SOLDER_JUMPER_NARROW           be_con_jump         (141 63)              MR90
LED201   green                  S_0805                           be_opt              (10 20.8)             R90
LED1701  green                  S_0805                           be_opt              (10 70)               R270
LED1702  green                  S_0805                           be_opt              (10 46)               R270
LED1703  yellow                 S_0805                           be_opt              (10 74)               R270
LED1704  yellow                 S_0805                           be_opt              (10 50)               R270
LED1705  blue                   S_0805                           be_opt              (10 78)               R270
LED1706  red                    S_0805                           be_opt              (10 54)               R270
LED1707  red                    S_0805                           be_opt              (10 66)               R270
LED1708  blue                   S_0805                           be_opt              (10 58)               R270
LED1801  green                  S_0805                           be_opt              (229 135)             R0
LED1802  red                    S_0805                           be_opt              (237 135)             R0
LED1901  yellow                 S_0805                           be_opt              (10 40)               R270
LED1902  blue                   S_0805                           be_opt              (10 36)               R270
LED2101  yellow                 S_0805                           be_opt              (273 96)              R270
LED2102  yellow                 S_0805                           be_opt              (273 26)              R270
LED2103  blue                   S_0805                           be_opt              (273 101)             R270
LED2104  blue                   S_0805                           be_opt              (273 31)              R270
LED2105  green                  S_0805                           be_opt              (273 111)             R270
LED2106  green                  S_0805                           be_opt              (273 41)              R270
LED2107  red                    S_0805                           be_opt              (273 116)             R270
LED2108  red                    S_0805                           be_opt              (273 46)              R270
LED2109  green                  S_0805                           be_opt              (273 106)             R270
LED2110  green                  S_0805                           be_opt              (273 36)              R270
LED2111  red                    S_0805                           be_opt              (286 106)             R270
LED2112  red                    S_0805                           be_opt              (286 36)              R270
LED2201  green                  S_0805                           be_opt              (273 121)             R270
LED2202  green                  S_0805                           be_opt              (273 51)              R270
LED2203  green                  S_0805                           be_opt              (273 126)             R270
LED2204  green                  S_0805                           be_opt              (273 56)              R270
LED2205  green                  S_0805                           be_opt              (273 131)             R270
LED2206  green                  S_0805                           be_opt              (273 61)              R270
LED2207  green                  S_0805                           be_opt              (273 136)             R270
LED2208  green                  S_0805                           be_opt              (273 66)              R270
LED2301  blue                   S_0805                           be_opt              (273 75)              R270
LED2302  green                  S_0805                           be_opt              (273 80)              R270
LED2303  yellow                 S_0805                           be_opt              (273 90)              R270
LED2304  green                  S_0805                           be_opt              (273 85)              R270
LED2401  blue                   S_0805                           be_opt              (273 4)               R270
LED2402  green                  S_0805                           be_opt              (273 9)               R270
LED2403  green                  S_0805                           be_opt              (273 14)              R270
LED2404  yellow                 S_0805                           be_opt              (273 19)              R270
R201     240                    S_0805                           be_rcl              (77.8 13.2)           R0
R202     715                    S_0805                           be_rcl              (233.2 13.2)          R0
R203     240                    S_0805                           be_rcl              (233.2 16.2)          R180
R204     240                    S_0805                           be_rcl              (93.6 13.2)           R0
R205     240                    S_0805                           be_rcl              (77.8 16.2)           R180
R206     330                    S_0805                           be_rcl              (15 20.8)             R0
R207     105                    S_0805                           be_rcl              (185.6 13.2)          R0
R208     392                    S_0805                           be_rcl              (51.8 19.2)           R270
R209     240                    S_0805                           be_rcl              (185.6 16.2)          R180
R210     240                    S_0805                           be_rcl              (54.8 19.2)           R90
R301     71R5                   S_0805                           be_rcl              (156.6 33)            R0
R302     392                    S_0805                           be_rcl              (217.4 13.2)          R0
R303     169                    S_0805                           be_rcl              (156.6 27.2)          R0
R304     240                    S_0805                           be_rcl              (217.4 16.2)          R180
R305     698                    S_0805                           be_rcl              (156.6 21.2)          R0
R306     71R5                   S_0805                           be_rcl              (166.2 33)            R0
R307     169                    S_0805                           be_rcl              (166.2 27.2)          R0
R308     392                    S_0805                           be_rcl              (201.4 13.2)          R0
R309     698                    S_0805                           be_rcl              (166.2 21.2)          R0
R310     240                    S_0805                           be_rcl              (201.4 16.2)          R180
R401     1M                     S_0805                           be_rcl              (215.4 126)           R0
R402     1M                     S_0805                           be_rcl              (225.4 126)           R0
R403     1M                     S_0805                           be_rcl              (221.2 111.6)         R90
R404     1k5                    S_0805                           be_rcl              (205.2 119.6)         R90
R405     33                     S_0805                           be_rcl              (203 115)             R180
R406     27k                    S_0805                           be_rcl              (207.2 115)           R180
R407     1k5                    S_0805                           be_rcl              (202 123.4)           R0
R501     330                    S_0805                           be_rcl              (11.4 98)             R270
R502     330                    S_0805                           be_rcl              (13.69 98)            R270
R701     4k7                    S_0805                           be_rcl              (155.8 94.2)          R90
R702     4k7                    S_0805                           be_rcl              (80.2 74)             R270
R703     4k7                    S_0805                           be_rcl              (131 94.2)            R90
R704     4k7                    S_0805                           be_rcl              (119.6 52.4)          R180
R801     4k7                    S_0805                           be_rcl              (45.2 42.2)           R270
